,"Propinsi, Kab/Kota","Kecamatan, Desa/Kel",Alamat,Koordinat
55,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOSARI 3/31,"-7.2250429, 112.7526414"
56,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PLOSO",KRAMPUNG TENGAH NO. 5,"-7.2500381, 112.7585116"
57,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, DUKUH SETRO",LEBAK REJO UTARA 7/23,"-7.236996, 112.7815527"
58,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, UJUNG",SAWAH PULO SR 1/40,"-7.22517339, 112.74277829"
59,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",PEGIRIAN BUNTU 11,"-7.22518666666667, 112.74771"
60,"JAWA TIMUR, KOTA SURABAYA","SIMOKERTO, SIDODADI",KAMPUNG SENG 77,"-7.23623785, 112.74844872"
61,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, WONOKUSUMO",WONOKUSUMO WETAN 1/28,"-7.22354341, 112.75366366"
62,"JAWA TIMUR, KOTA SURABAYA","BUBUTAN, GUNDIH",MARGORUKUN XI/10 SURABAYA,"-7.2521238, 112.7249615"
63,"JAWA TIMUR, KOTA SURABAYA","SAWAHAN, KUPANG KRAJAN",KUPANG KRAJAN 7/10,"-7.2739154, 112.7263515"
64,"JAWA TIMUR, KOTA SURABAYA","SUKOLILO, NGINDEN JANGKUNGAN",JANGKUNGAN II/5,"-7.3059054, 112.7626983"
65,"JAWA TIMUR, KOTA SURABAYA","WONOKROMO, SAWUNGGALING",GUNUNGSARI 2 SAWAH 34,"-7.3074743, 112.7224749"
66,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOSARI 3/9,"-7.22429666666667, 112.749901666667"
67,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, RUNGKUT MENANGGAL",RUNGKUT MENANGGAL 3 / 8 A,"-7.3388384, 112.7675514"
68,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, UJUNG",SAWAH PULO SR 2/17,"-7.2248348, 112.7438928"
69,"JAWA TIMUR, KOTA SURABAYA","JAMBANGAN, PAGESANGAN",PAGESANGAN II-B/9,"-7.3339683, 112.7108061"
70,"JAWA TIMUR, KOTA SURABAYA","MULYOREJO, KALISARI",KALISARI DAMEN 47 SBY,"-7.2730043, 112.8074092"
71,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, ASEM ROWO",TAMBAK DALAM UTAMA NO. 46,"-7.2479333, 112.708919"
72,"JAWA TIMUR, KOTA SURABAYA","KENJERAN, TAMBAK WEDI",TAMBAK WEDI BARU 14-A/10,"-7.21812836, 112.77190038"
73,"JAWA TIMUR, KOTA SURABAYA","KENJERAN, TAMBAK WEDI",TAMBAK WEDI BARU GG. 18 UTARA/35,"-7.21607454, 112.77124131"
74,"JAWA TIMUR, KOTA SURABAYA","TANDES, MANUKAN WETAN",BUNTARAN I/NO.55,"-7.2493662, 112.6740029"
75,"JAWA TIMUR, KOTA SURABAYA","KREMBANGAN, MOROKREMBANGAN",MOROKREMBANGAN 9/7,"-7.2271739, 112.7074614"
76,"JAWA TIMUR, KOTA SURABAYA","RUNGKUT, RUNGKUT KIDUL",RUNGKUT KIDUL GG. II/92,"-7.3285437, 112.7651707"
77,"JAWA TIMUR, KOTA SURABAYA","GUBENG, KERTAJAYA",JUWINGAN 114,"-7.1472442, 112.8714363"
78,"JAWA TIMUR, KOTA SURABAYA","TENGGILIS MEJOYO, TENGILIS MEJOYO",TENGGILIS LAMA 4-B/22,"-7.31611614, 112.76188649"
79,"JAWA TIMUR, KOTA SURABAYA","GENTENG, GENTENG",GENTENG BANDAR 2/59 A,"-7.2612582, 112.7396066"
80,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN KEJAMBON II/106,"-7.27475, 112.7388636"
81,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PACARKELING",PACARKELING 3/42-A,"-7.2578787, 112.7591672"
82,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN KEJAMBON 2/73,"-7.2753388, 112.7398858"
83,"JAWA TIMUR, KOTA SURABAYA","TENGGILIS MEJOYO, KUTISARI",KUTISARI SELATAN 47-E,"-7.3363262, 112.748449"
84,"JAWA TIMUR, KOTA SURABAYA","TEGALSARI, WONOREJO",TEMPEL SUKOREJO 6/10-B,"-7.273035, 112.728215"
85,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PACARKELING",PACARKELING 3/39,"-7.2577399, 112.7592695"
86,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOKUSUMO KIDUL 28.,"-7.225385, 112.752811666667"
87,"JAWA TIMUR, KOTA SURABAYA","SAMBIKEREP, SAMBIKEREP",DK. BUNGKAL NO. 74,"-7.273903, 112.6528133"
88,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, ASEM ROWO",TAMBAK DALAM BARU V NO. 1-B,"-7.2457892, 112.7081345"
89,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, WONOKUSUMO",WONOKUSUMO WETAN 2/29,"-7.22252481, 112.75324411"
90,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, GUNUNG ANYAR",GUNUNGANYAR TENGAH 103,"-7.29142106, 112.80199284"
91,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, WONOKUSUMO",WONOKUSUMO WETAN 4/10,"-7.22261229, 112.75281723"
92,"JAWA TIMUR, KOTA SURABAYA","JAMBANGAN, KARAH",BIBIS KARAH I/43,"-7.3133579, 112.7124192"
93,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, RUNGKUT MENANGGAL",JL. KYAI SATARI II/5,"-7.3379075, 112.765233"
94,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",PEGIRIAN 6/16,"-7.22516333333333, 112.747255"
95,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, ASEM ROWO",TAMBAK DALAM UTAMA NO. 37,"-7.24801272153854, 112.708000279963"
96,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, GUNUNG ANYAR TAMBAK",JL.GUNUNGANYAR TAMBAK I / 14,"-7.3453333, 112.8042116"
97,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, RUNGKUT TENGAH",RUNGKUT TENGAH I C / 19,"-7.3330455, 112.7656033"
98,"JAWA TIMUR, KOTA SURABAYA","TENGGILIS MEJOYO, KENDANGSARI",KENDANGSARI GG.8/12,"-7.327565, 112.75013"
99,"JAWA TIMUR, KOTA SURABAYA","PABEAN CANTIAN, KREMBANGAN UTARA",MUTERAN BARU 46,"-7.2285407, 112.7369358"
100,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, UJUNG",SAWAH PULO SR 2/9,"-7.22476275, 112.74401161"
101,"JAWA TIMUR, KOTA SURABAYA","SAWAHAN, PETEMON",PETEMON 2/55,"-7.2628723, 112.7196915"
102,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, ASEM ROWO",TAMBAK PRING BRT GG TENGAH I/32,"-7.25112666666667, 112.701273333333"
103,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, GUNUNG ANYAR TAMBAK",JL.GUNUNGANYAR TAMBAK. I / 28,"-7.34526742, 112.80365548"
104,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, UJUNG",HANGTUAH 8/58,"-7.22267351, 112.74366722"
105,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, DUKUH SETRO",LEBAK REJO UTARA 8/3,"-7.2374363, 112.7811496"
106,"JAWA TIMUR, KOTA SURABAYA","KENJERAN, TANAH KALI KEDINDING",TANAH MERAH SELADRI NO. 42,"-7.22781395, 112.7696246"
107,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN KEJAMBON 2/73,"-7.2753377, 112.7398846"
108,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOKUSUMO JAYA 13/3,"-7.224035, 112.75205"
109,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, GADING",GADING KARYA 4/22,"-7.2363396, 112.7814674"
110,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, SIDOTOPO",SIDOTOPO SEKOLAHAN 12/111-B,"-7.22650904, 112.75147185"
111,"JAWA TIMUR, KOTA SURABAYA","TEGALSARI, TEGALSARI",KEDONDONG KIDUL 1/17-E,"-7.2746275, 112.7400296"
112,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN KEJAMBON 2/91 -C,"-7.2753331, 112.7392366"
113,"JAWA TIMUR, KOTA SURABAYA","BUBUTAN, GUNDIH",JL. GUNDIH LAPANGAN BLOK B/27,"-7.248104, 112.7287696"
114,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, GENTING KALIANAK",GENTING BARU NO.36-B,"-7.24142, 112.713095"
115,"JAWA TIMUR, KOTA SURABAYA","BUBUTAN, ALUN-ALUN CONTONG",JL. SULUNG TENGAH NO. 26,"-7.2458225, 112.7414585"
116,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, RUNGKUT TENGAH",RUNGKUT TENGAH GG. SAWAH 28,"-7.33401091, 112.77028223"
117,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, WONOKUSUMO",WONOKUSUMO WETAN 2/27-A,"-7.22251369, 112.75320921"
118,"JAWA TIMUR, KOTA SURABAYA","SUKOLILO, KLAMPIS NGASEM",RUKO 21 BLOK C/5,"-7.28799301, 112.77626492"
119,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN PANJUNAN 3/66,"-7.2755649, 112.7389651"
120,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOKUSUMO KIDUL 29,"-7.22538833333333, 112.752811666667"
121,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, GUNUNG ANYAR TAMBAK",JL.GUNUNGANYAR TAMBAK. 3 / 17,"-7.34572043, 112.80491735"
122,"JAWA TIMUR, KOTA SURABAYA","BENOWO, KANDANGAN",JUGRUK REJOSARI,"-7.26337833333333, 112.655541666667"
123,"JAWA TIMUR, KOTA SURABAYA","BULAK, BULAK",BULAK RUKEM TIMUR 1-H/2,"-7.2351781, 112.7769699"
124,"JAWA TIMUR, KOTA SURABAYA","SUKOMANUNGGAL, SUKOMANUNGGAL",DONOWATI 4/35,"-7.2668438, 112.6979425"
125,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN KEJAMBON 1/74,"-7.2743238, 112.7396181"
126,"JAWA TIMUR, KOTA SURABAYA","GAYUNGAN, KETINTANG",KETINTANG BARU 10/15,"-7.3159444, 112.7294182"
127,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOKUSUMO 60 BLK,"-7.22404166666667, 112.752283333333"
128,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",PEGIRIAN 6/4-C,"-7.2259105, 112.7472574"
129,"JAWA TIMUR, KOTA SURABAYA","GENTENG, GENTENG",GENTENG BANDAR II/31,"-7.25994304, 112.74192225"
130,"JAWA TIMUR, KOTA SURABAYA","BENOWO, SEMEMI",BANDAREJO Gg.3/40,"-7.25271258037537, 112.643445711583"
131,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN PANJUNAN 2/42,"-7.2764366, 112.7381169"
132,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN PANJUNAN 2/24,"-7.275731, 112.740684"
133,"JAWA TIMUR, KOTA SURABAYA","BUBUTAN, TEMBOK DUKUH",DEMAK SELATAN VI/40 SURABAYA,"-7.2506954, 112.719123"
134,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, TAMBAK SARIOSO",TAMBAK LANGON VII-C NO. 5,"-7.226495, 112.663988333333"
135,"JAWA TIMUR, KOTA SURABAYA","BENOWO, KANDANGAN",TENGGER RAYA I-E,"-7.25785118993372, 112.653291514143"
136,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOKUSUMO KIDUL 29 BLK.,"-7.22525666666667, 112.752878333333"
137,"JAWA TIMUR, KOTA SURABAYA","BUBUTAN, GUNDIH",SUMBER MULYO 6/15-C,"-7.2468703, 112.7263206"
138,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, UJUNG",SAWAH PULO SR 1/32,"-7.2251194, 112.743304"
139,"JAWA TIMUR, KOTA SURABAYA","DUKUH PAKIS, GUNUNG SARI",PULOSARI 3.J/30,"-7.301049, 112.720173"
140,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN PASAR KECIL I/9,"-7.2730824, 112.7417905"
141,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, DUKUH SETRO",LEBAK JAYA UTARA 5-A RAWASAN NO.108,"-7.2351492, 112.7814668"
142,"JAWA TIMUR, KOTA SURABAYA","WIYUNG, BALAS KLUMPRIK",SUMBERAN,"-7.33302333333333, 112.679531666667"
143,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, RUNGKUT TENGAH",RUNGKUT TENGAH 1 B / 19,"-7.333161, 112.7662501"
144,"JAWA TIMUR, KOTA SURABAYA","BENOWO, SEMEMI",UKA 20/27,"-7.2519375057891, 112.637572931126"
145,"JAWA TIMUR, KOTA SURABAYA","BENOWO, SEMEMI",PERUMAHAN UKA 16/35,"-7.2503186, 112.6374036"
146,"JAWA TIMUR, KOTA SURABAYA","GAYUNGAN, MENANGGAL",MENANGGAL 04/21,"-7.3406075, 112.724671"
147,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOKUSUMOKIDUL 29,"-7.22543333333333, 112.753026666667"
148,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN PANJUNAN 3/51-B,"-7.2764797, 112.7395007"
149,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN PANJUNAN 3/53,"-7.2764015, 112.7393618"
150,"JAWA TIMUR, KOTA SURABAYA","BENOWO, SEMEMI",PERUMAHAN UKA 16/35,"-7.2503186, 112.6374036"
151,"JAWA TIMUR, KOTA SURABAYA","WIYUNG, BALAS KLUMPRIK",JL. MANGGALA 25 - GEMPOL,"-7.3287, 112.682286666667"
152,"JAWA TIMUR, KOTA SURABAYA","PABEAN CANTIAN, KREMBANGAN UTARA",DAPUAN 4/3,"-7.22987398, 112.7359955"
153,"JAWA TIMUR, KOTA SURABAYA","KENJERAN, TAMBAK WEDI",TB WEDI BARU GG XVIII UTARA NO. 16,"-7.21555089, 112.77129854"
154,"JAWA TIMUR, KOTA SURABAYA","BENOWO, SEMEMI",UKA. 10/14,"-7.25061002187431, 112.636619322002"
155,"JAWA TIMUR, KOTA SURABAYA","JAMBANGAN, KARAH",JL. KARAH INDAH BLOK -H/NO. 12,"-7.7512517, 111.9355139"
156,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PACARKELING",PACARKELING 8/10,"-7.2578372, 112.7586705"
157,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",TENGGUMUNG BARU MULYA 4/14,"-7.22574709, 112.75743316"
158,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, UJUNG",SAWAH PULO SR 3/22,"-7.22465166666667, 112.743528333333"
159,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, WONOKUSUMO",BULAK SARI GG 2 BUNTU 20,"-7.21588149, 112.75299541"
160,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PACARKELING",PACAR KELING 3/39-A,"-7.2578109, 112.7591284"
161,"JAWA TIMUR, KOTA SURABAYA","TENGGILIS MEJOYO, KENDANGSARI",KENDANGSARI GG XI/14-B,"-7.32367833333333, 112.750185"
162,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, ASEM ROWO",TAMBAK MAYOR UTARA NO.6,"-7.25036333333333, 112.702633333333"
163,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, RUNGKUT TENGAH",RUNGKUT TENGAH 3 LANGGAR 11,"-7.3347133, 112.7662253"
164,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, TAMBAK SARIOSO",TAMBAK LANGON VI NO. 3 A,"-7.22625333333333, 112.664575"
165,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN KEJAMBON II NO.91 C,"-7.2752782, 112.7392706"
166,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, ASEM ROWO",TAMBAK MAYOR NO. 65,"-7.2493895, 112.7049613"
167,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, GUNUNG ANYAR",JL.AMIR MACHMUD VII / 15,"-7.29146971, 112.80198791"
168,"JAWA TIMUR, KOTA SURABAYA","WIYUNG, BALAS KLUMPRIK",SUMBERAN,"-7.3310139, 112.6797268"
169,"JAWA TIMUR, KOTA SURABAYA","WIYUNG, BABATAN",BABATAN 2,"-7.30789, 112.679393333333"
170,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, UJUNG",HANGTUAH 8/22,"-7.2223639, 112.7424312"
171,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN PANJUNAN 3/66,"-7.2756129, 112.7389582"
172,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, DUKUH SETRO",LEBAK REJO UTARA 8/46,"-7.23632658831775, 112.781386775896"
173,"JAWA TIMUR, KOTA SURABAYA","GUBENG, MOJO",MOJOKLANGGRU LOR 62 BLK,"-7.2679863, 112.7680199"
174,"JAWA TIMUR, KOTA SURABAYA","SAWAHAN, KUPANG KRAJAN",KUPANG KRAJAN 7/27,"-7.27374577189209, 112.726372869743"
175,"JAWA TIMUR, KOTA SURABAYA","BUBUTAN, GUNDIH",GUNDIH REL BLOK B/30-A,"-7.2479668725282, 112.728674411774"
176,"JAWA TIMUR, KOTA SURABAYA","GENTENG, PENELEH",PENELEH 9/10,"-7.25262665, 112.73956935"
177,"JAWA TIMUR, KOTA SURABAYA","KENJERAN, TAMBAK WEDI",TAMBAK WEDI BARU GG III NO. 55,"-7.21541420090944, 112.775550037622"
178,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, UJUNG",HANGTUAH 8/48.,"-7.2225531, 112.743344"
179,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PACARKELING",GERSIKAN 2/14-A,"-7.2564359, 112.7637381"
180,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, UJUNG",SAWAH PULO 69,"-7.2231471, 112.7473329"
181,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN PANJUNAN 3/60,"-7.2762052, 112.7394412"
182,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN PANJUNAN 1/6 -A,"-7.2759766, 112.7410954"
183,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN PANJUNAN 3/52,"-7.2767512, 112.7381169"
184,"JAWA TIMUR, KOTA SURABAYA","KARANG PILANG, KEBRAON",KEBRAON 4 / 8,"-7.3346389, 112.702672"
